字段1_文本,字段3
中国问题专家呼吁特朗普认真对待中美关系,一个跨党派专家小组发布报告，呼吁特朗普确立更有效的对华战略。报告认为，美国应坚定应对中国挑战的决心，也反对特朗普抛弃“一个中国”等基本原则。
特朗普煽风，中美关系摇摇欲坠？（漫画）,特朗普多次就中美贸易发表针对中国的言论，引发中国官媒批评。他的煽风点火让原本就因为南海争端等陷入低谷的中美关系愈发摇摇欲坠？
跟随美国前驻华大使拍摄中美关系纪录片,凡妮莎·霍普的纪录片《眼观六路，耳听八方》透过美国前驻华大使洪博培的视角观察复杂多变的中美关系。陈光诚也出现在片中。
拜登与习近平视频会晤在即，会谈内容受关注,中国外交部表示，双方将“就中美关系和双方共同关心的问题交换意见”，但未提供其他细节。当前中美两国因贸易、网络威胁、台湾和人权等问题关系紧张。
拜登正式提名前驻北约大使伯恩斯任驻华大使,伯恩斯是一名资深外交官，在中美意识形态冲突加剧、关系恶化之际，他将面临填补两国外交真空的艰巨任务。此外，拜登还提名奥巴马首任幕僚长出任驻日大使。
拜登在中国问题上想两全其美，他错了,拜登政府的策略是与中国既竞争又合作，但白宫并没有把合作放在首位。然而，只有通过更深入的合作，美国才能解决对美国人最大的威胁。
拜登与习近平通电话，打破美中外交僵局,这是拜登就职以来两人第二次对话。拜登对中国的网络活动表示关切，并提出两人应搁置分歧，在气候变化方面合作；习近平则指白宫政策是导致美中关系紧张的源头。
聚焦中美元首视频峰会：习近平和拜登谈了些什么,会谈共进行了三个多小时。习近平称拜登为“老朋友”，呼吁双方相互尊重。双方还谈及人权、台湾和贸易问题。两国领导人承诺加强合作，但没有取得重大突破。
华尔街银行终于进入中国，但这能维持多久？,从花旗银行、摩根大通到高盛，华尔街机构纷纷获准在中国独立开设业务。中国希望借此将更多外国投资者引入中国。但中国的房市危机、地缘政治等问题也构成重大风险。
赴美留学人数回升至疫前水平，中国学生占比近半,今年5月和6月，美国批准了11.7万份F-1学生签证，其中有5.7万份发放给了中国学生。此前学生签证是中美争端的焦点问题之一，中国当局曾就STEM学科学生被拒签谴责美国。
美中正在进入一场新冷战吗？,白宫已竭力避免新旧冷战的比较，拜登政府的策略更接近于竞争共存。但中美都在寻求权力和影响力，并相互遏制，有理由担心如今发生冲突的可能性高于以往。
中国驻美大使秦刚抵美履新，曾积极反对西方批评,秦刚曾积极反对西方批评，这一任命表明北京正为中美关系持续紧张做准备。秦刚行事风格相比“战狼”外交官较为温和，但他为强硬反击西方树立了早期榜样。
中美高官会谈激烈交锋，美国对华战略或难奏效,北京猛烈批评美国对华政策，称美国试图“全方位遏制中国”，没有公开作出任何让步。中国国内已对美国形成的愤怒情绪，美国对华战略取得成效的可能性减弱。
中国处理孟晚舟案的强硬策略：外国公民成谈判筹码,孟晚舟获释几乎同时，两名被中国拘捕的加拿大人被释放回国。专家表示，这场交换是对其他国家的一种警告，加强了今后中国在类似谈判中讨价还价的优势。
孟晚舟与美国达成协议获释，中国释放两名加拿大人,美国司法部与孟晚舟达成协议，推迟并将最终撤销对她的指控。加拿大媒体报道称她已乘私人飞机离境。加拿大总理宣布被中国关押的两名加拿大公民已获释。
台湾成中美矛盾核心问题：摩擦“起火”并不遥远？,中国的军事力量已使武统成为可能，美国愿在多大程度上支持台湾仍存疑。三方都试图表现出避免战争的决心却适得其反。这加深了不信任，也增加了误判的风险。
被中国拘留两年后，两名加拿大人仍命运难料,康明凯和斯帕沃尔已经成为北京强势外交政策后果的象征。一些加拿大官员和专家寄望于拜登入主白宫后改善中美关系，为两人的释放铺平道路；其他人则没有这么乐观。
中国警告美国：双边关系紧张或影响气候合作,美国气候特使克里访华，在为年底的格拉斯哥气候峰会做准备。中国外长王毅就双边关系和合作前景发表强硬言论。气候变化有促使两国合作的可能，也可能成为另一个纷争点。
滴滴遭整改背后，中国政府发出了什么信号？,这场监管战的最新战线是隐私和网络安全。当局发出明确信息：即使企业在全球运营海外上市，政府仍有权管它们。这也凸显了国际投资者投资中国企业的风险。
NBA恐难逃新疆棉争议：球员如何处理中国品牌代言,多名球员代言支持新疆棉的李宁和安踏等中国品牌，这很可能会让联盟及球员陷入地缘政治风暴。继“挺港”事件后，中美关系、人权和商业再次在篮球场上相遇。
拜登的对台政策鲁莽而危险,他的做法是在推翻一个40多年来让美国、台湾和世界获益的外交假象。美国和台湾越是正式关闭统一的大门，北京就越有可能寻求武力统一。
拜登上台后，中美“媒体战”能否走出阴影？,被特朗普政府驱逐后，中国记者多保持了沉默。但随着两国交流空间持续缩小，作者开始公开讲述这次危机，并呼吁中美向对方媒体重新开放。
“西天懂佛特朗普”雕塑：中国对特朗普的文化痴迷,中国一家公司铸造了一尊特朗普“佛像”，他双腿盘坐，神态平静。创作者称，特朗普爱争吵，这是与他性格相反的形象。这座雕塑折射出许多中国人对特朗普的痴迷。
从香港、东非到加州：我家的全球疫苗接种故事,我的家人遍布三大洲。在全球疫苗地缘政治游戏的支配下，一家人等待接种的过程成为了各种作用力影响的缩影。从香港、东非到美国，谁能先得到接种？又能接种哪种疫苗？
特朗普离任前“挖坑”，拜登面临对华政策难题,特朗普政府的举动可能强行改变拜登中国议程的优先级，使后者不得不在人权等问题上保持对中国的战斗姿态，同时寻找合作领域，稳定中美关系的计划将复杂化。
中美高层对话前夕，美国就香港问题制裁24名中共官员,美国务卿称此轮制裁针对的是中国改革香港选举的行为，中国回应称美国“干涉中国内政”。拜登政府选择在中美外交高官会晤前夕采取行动，为会谈定下了对抗性基调。
处在十字路口，国民党能否“现代化”？,国民党被许多台湾人认为“守旧”，与大陆保持良好关系的做法也被视为危险。新领导人希望通过支持民主价值观和人权、拉开与北京的距离等做法实现改革。
中国可能会是拜登的噩梦,与和中国打交道相比，华盛顿的党派之争只是小菜一碟。拜登需要在约束习近平各种侵犯人权行为的同时，与中国展开合作，降低战争风险。
简报：上海等多地疫情反弹；中国未兑现美中贸易协议承诺,拜登推出“全面、战时”新冠政策；欧洲多国升级口罩规定；麦康奈尔希望推迟特朗普的二次弹劾审判；俄罗斯威胁打击美资新闻机构……这里是今日要闻。
五名逃离香港的抗议者在美国寻求庇护,新国安法实施以来，活动人士陆续逃离香港。这五名年轻抗议者去年7月乘船逃往台湾，被关押在军事基地数月后抵美。这可能会加剧中美紧张，给拜登政府带来了挑战。
中国经济走势强劲，人民币汇率水涨船高,全球其他地方经济遭到疫情重创，中国成为罕见亮点，人民币汇率也随之走高，接近两年半以来的最高水平。对即将上任的拜登政府而言，这消除了一个潜在问题。
中国出台新规反制美国对中企限制,新规将惩罚那些遵守华盛顿在对华业务往来上严格限制的跨国公司，还可能向即将上任的拜登政府发出信号，后者必须就是否保留特朗普对中国企业施加的限制作出抉择。
中美构建合作–竞争关系是可能的,中国外交部前副部长傅莹谈世界两个主要大国未来发展关系面临的问题和解决的思路，指出中美有可能通过解决彼此关切来发展“竞合”关系。
拜登对华政策难题：如何在合作与对抗间取得平衡？,拜登接手的中美关系将是一大挑战。拜登团队希望采取比特朗普更聪明的做法，在疫情和气候变化等问题上合作，同时在技术、军事和人权问题上进行竞争和对抗。
中国对美政策的困境：如何保持强硬但避免“分手”,在被要求关闭休斯敦领馆之后，北京正试图在不危及经济和招致进一步孤立的情况下作出回应。但面对特朗普政府的广泛攻击，北京的选择有限且内部有明显分歧。
美国新一代中餐厅的深层危机,最近几年，一批对美国中餐厅里的“左宗鸡”、“芥兰牛”忍无可忍的老饕试图抢下中餐叙事的话语权。但因疫情下恶化的中美关系，理想的丰满难敌现实的骨感，逆转尚需时日。
简报：拜登在关键州选情占优；中国在美记者陷入困境,拜登在关键州选情看涨，特朗普称有阴谋阻碍他连任；中美关系恶化，中国在美记者进退两难；中国禁止更多国际旅客入境；朝鲜展开禁烟运动……这里是今日要闻。
香港经济将更融入和依赖中国，这意味着什么？,与中国的融合、贸易模式的转变和中美关系恶化可能会重塑香港的商业环境。有人担心这样的香港将失去国际吸引力，但也有人认为，与内地建立更紧密的关系将带来机遇。
为什么许多台湾人与特朗普和美国站在一起？,民调发现台湾人更支持特朗普，北京的频繁军演似乎并未达到震慑效果，国民党检讨两岸关系回应民意。美国大选前夕，台湾人究竟怎么看美中台“三角关系”？
拜登的对华政策会如何变,作者认为，特朗普的对华政策虽然看起来“爽”，但北京应该已经适应了他这种行事风格，相较而言，拜登有可能是个更难对付的对手。
简报：中国驻美使馆转发特朗普不实推文；图说2020年,美国FDA顾问小组为辉瑞疫苗开绿灯；新加坡邮轮病例闹乌龙；Airbnb成为年度最大IPO；拜登之子亨特披露自己遭到税务调查……这里是今日要闻。
简报：美国制裁令引发中方抗议；英国启动新冠疫苗接种,中国与尼泊尔共同宣布珠峰新高度；高盛寻求买断在华合资企业，实现全资控股；香港晚间堂食、健身房等再度关闭；科学家警告北极变暖……这里是今日要闻。
中国升级对美台政治宣传，给台湾问题“划红线”,充斥军事语言和战争画面的政治宣传伴随一系列军事演习出现，其好战的腔调反映出习近平的强硬立场。中美关系恶化之际，这种宣传可能变成更具挑衅性的行动。
拜登，中国的“老朋友”还是未来敌人？,中国的分析人士认为，相比特朗普，拜登当选后可能在人权等问题上表现得更有原则、更强硬，并在对抗中国的全球议程上寻求更一以贯之的战略，给北京带来更大挑战。
中美走向新冷战：意识形态冲突加剧，对抗升级,中美关系越来越充满不信任和敌意，双方在技术、领土主权和影响力上的冲突为一场将具有许多冷战特点的危险对抗打下基础。世界正再次以意识形态划分阵营。
四面楚歌的留美学生，能指望大选吗,随着中美关系恶化，很多留学生希望换总统能改变当前困境，尽管他们对最终结果未必乐观。作者建议，在满足自我需求的同时规划多种出路。
习近平提“双循环”战略：经济重心向内转,习近平的新战略需要国内人民花更多钱、企业进行更多创新，以减少对外国经济的依赖，在动荡时代保持增长。分析认为，这项政策与中美关系恶化有很大关系。
“猎狐行动”受挫：美国指控八人密谋骚扰中国异见者,司法部指控这八人代表中国密谋对在美政治异见人士和逃犯施压，对他们及其家人进行跟踪、调查和威胁，要求他们回国受审。这对习近平发起的“猎狐行动”是一次重大打击。
在崩塌的地缘政治中，我被迫离开中国,中美关系的恶化，对我们这些夹在中间的人来说意味着现实生活的冲击，但真正的损害是长期的。学术交流、旅游、调查报道都难以恢复。
美国副国务卿访问台湾，北京愤怒回应,基思·克拉奇赴台参加李登辉追悼会，并将与蔡英文会面。这是特朗普政府拒绝北京威胁、加强对台湾支持的最新动作。中国外交部指责克拉奇的访问破坏中美关系。
美国务卿宣布放宽美台官员往来限制,分析认为，鉴于本届政府即将结束，这可能不会产生什么实际影响，更像是特朗普在设法强化政治遗产。拜登团队表示将坚持一个中国政策，同时强有力支持台湾。
简报：拜登面临对华政策难题；莫德纳疫苗有效性达94.5%,英国外交官在重庆救落水女子获赞誉；日本经济反弹；奥巴马新回忆录面世；英国首相再次自我隔离；中国买家拍得史上最昂贵鸽子……这里是今日要闻。
特朗普禁止美国人投资有军方背景的中国公司,禁令涉及华为、中移动和海康威视等31家中企，禁止美国人购买这些企业的股票或投资相关基金。特朗普称，此类投资是在为中国的军事野心输送资金，对国家安全构成风险。
百人会首任会长、中美“文化外交官”杨雪兰去世,"杨雪兰曾任通用汽车副总裁，领导该公司在中国和亚洲扩张。她与马友友、贝聿铭等共同创立了百人会，任首任会长。后来她致力于在中国推动西方古典音乐，扩大文化交流。
"
拜登当选，中国官媒作何反应？,中国官方媒体对拜登当选表达了谨慎乐观，称希望拜登能稳定中美迅速恶化的关系，但与此同时，媒体也对两国的未来关系紧张发出警告，并暗示美国的民主正在衰落。
《邓小平时代》作者傅高义去世：帮助世界理解中日崛起,傅高义关于中国和日本现代政治和社会的著作，帮助塑造了世界对这两个亚洲大国崛起的理解。中国政治光谱两端的人物均对傅高义逝世的消息表示了哀悼，可见他影响之深远。
中国缓和民族主义论调，呼吁与美国休战,随着特朗普加剧攻击北京，中国开始缓和措辞以避免局势失控。不过，中方仍在推行强硬议程。分析认为，除非北京作出实质性让步，否则美国不太可能停火。
疫情一周年，中国留学生的美国梦还在吗,七位留美的中国学生中，有人因种种困难而在美国“黑”了下来，有人则为了追求创业机会在危机中飞回美国。不管各自是什么处境，他们对两国和自己未来的想法都变了许多。
“刀刃向内”：习近平对政法系统进行“整风”,包括上海公安局长在内，已有21名政法干部接受调查。随着习近平为两年后的换届做准备、中美关系持续恶化，这场毛式运动正在成为他巩固权力的有力工具。
简报：中国与亚太14国签订区域自贸协议；拉姆之死背后,中国祝贺拜登胜选；美国新冠病例超过1100万；香港对高危人群强制检测；SpaceX成功发射载人飞船；昂山素季国际声望为何陨落……这里是今日要闻。
特朗普限制TikTok背后的中国逻辑,特朗普的行政命令与网络安全无关，而是在中美关系紧张情况下的报复性攻击。这一举动促进了一种本质上是中国式的互联网安全观。
简报：拜登筹备权力交接，中国或成其头号外交挑战,特朗普仍未承认败选；多国领导人祝贺拜登胜选，习近平尚未表态；美国新冠确诊病例破千万大关；英国女王首次在公开场合佩戴口罩……这里是今日要闻。
中国在欧洲形象持续恶化，习近平遇挑战,从贸易到人权，欧洲各国对中国的不满和愤怒日益增加，新冠疫情和香港国安法加剧了这种情绪。这种转变可能会阻碍中国经济复苏，甚至可能打击习近平领导世界的雄心。
这场中美新冷战是如何酝酿爆发的,中美关系已降至自两国外交正常化以来的最严峻水平。在特朗普政府治下，中美在国防、贸易、科技和人权等领域的行动与报复迅速升级。过去几年来发生了什么？
简报：“义乌指数”和美国大选；法德再次实施严格限制措施,美国指控八人密谋骚扰中国异见者；中国同性恋者的困境；美国在马尔代夫设立使馆；波兰女性大罢工；将地道中餐带到美国的江孙芸逝世……这里是今日要闻。
美国大选谁将是赢家？“义乌指数”再次指向特朗普,尽管并不科学，但“义乌指数”曾成功预测特朗普胜选。今年，尽管特朗普在民调中落后，但工厂老板们说，他的竞选商品在义乌卖得火热，而拜登商品的大宗订单几乎没有。
中国与伊朗拟深化贸易军事合作，挑战美国,根据拟达成的协议，中国将在25年内对伊朗投资4千亿美元，换取低价石油供应。此举将扩大中国在中东的影响力，破坏美国对伊制裁，进一步损害中美关系。
简报：庞皮欧称美国对华模式失败；任志强被开除党籍,大疆无人机曝安全漏洞；字节跳动据信考虑出售TikTok多数股权；美国新冠确诊病例超过400万；谭德塞驳斥被中国“收买”论……这里是今日要闻。
拜登会延续特朗普的对台政策吗？,特朗普将与台湾建立更紧密关系作为与中国抗衡的一个关键部分。拜登上任后将面临两党压力，很可能会延续这条道路，但不会像特朗普那样具有对抗性。
简报：联合国大会中美交锋；兰州要求出租车司机清除文身,习近平承诺中国将在2060年前实现“碳中和”；脸书称来自中国的虚假页面试图干预美国大选；美国大法官提名之争特朗普赢得关键支持……这里是今日要闻。
中国在南海军演：试射中程导弹，宣示主权,中美紧张加剧之际，中国向南海争议水域发射了一系列中程导弹，以展示战略主导地位和主权。美国批评军演破坏南海非军事化承诺，中方称演习不针对任何国家。
简报：TikTok交易再生变；纽约警察被控充当中国间谍,特朗普要求字节跳动完全交出控制权；特朗普称或于周六宣布大法官提名人；全球因新冠死亡人数接近100万，至少73个国家疫情复燃……这里是今日要闻。
简报：TikTok与甲骨文协议待审查；美国驻华大使将离任,美国对新疆涉强迫劳动产品下达禁令；菅义伟将出任日本首相；俄罗斯反对派领袖纳瓦尔尼苏醒后计划回国；科学家发现金星存在生命的可能……这里是今日要闻。
中美对峙中，我们这种讨人嫌的骑墙派,随着反华情绪在美国的蔓延，民族主义情绪在中国的日渐高涨，在对峙的大时代里，留美华人中的骑墙派，还会有一条中间路线可走吗？
简报：习近平提经济重心转向国内；美国拟出台新疆棉禁令,亚马逊禁止用户向美国销售外国种子；中国称新疆本轮疫情确诊患者清零；白俄罗斯知名抗议领袖失踪；俄反对派领袖纳瓦尔尼脱离昏迷……这里是今日要闻。
拜登胜选后，世界“如释重负”,从欧洲和中东到亚洲和拉美，拜登获胜的消息引发了极大反响，外国领导人纷纷向他表示祝贺。领导人们认为拜登将把全球秩序带回常态，但并非所有人都欢迎这一结果。
特朗普政府就南海问题制裁24家中国公司,这些公司被指在南海帮助中国建造人工岛。被列入禁止购买美国产品名单的公司包括中国交建，该公司是许多“一带一路”项目的承包方。一些公司的高管还将面临签证限制。
中国要求美国关闭驻成都总领事馆,这一反制措施是中美关系不断恶化的又一个转折点，也可能是迄今为止最严重的一次。关闭外交使团使两国分歧继续加深。庞皮欧此前发表讲话否决了与中国接触的旧模式。
美中走向新对抗时代，双边关系恐难逆转,特朗普政府对中国的攻击源于竞选战略，但美国鹰派的最终目标是建立不可逆转的对抗性对华政策，无论明年谁来领导美国。习近平的威权主义做法加剧了冲突。
美国推动大规模对台军售，包括远程空对地导弹,如果获批，这批价值数十亿美元的武器将成为近年来最大规模的对台武器转移。华盛顿加强了对台湾的支持以制衡中国；特朗普也希望在大选前树立对华强硬形象。
特朗普签署涉港制裁法案，中国誓言报复,这项法案为制裁被认定为破坏香港半自治地位的官员和企业扫清了道路。特朗普还正式颁布行政命令，取消香港特惠贸易地位。中美在多个领域关系急剧恶化，展开互相惩罚。
华裔小提琴家否认社交媒体言论“辱华”，提起诉讼,蒋逸文曾是上海四重奏的小提琴手，也是中共批评者。他在社交媒体上以“猪”的表情符指代中国人引发争议，失去乐团席位和教职。如今他发起诉讼，称自己的言论被故意歪曲。
北京延长本届香港立法会任期，未将反对派议员除名,尽管四名民主派议员已被禁止寻求连任，但他们来年可能留在立法会。这表明北京希望避免引发更大的公众愤怒。此前港府已决定将立法会选举推迟一年。
简报：香港高调打击异见人士；黎巴嫩政府集体辞职,中国对11名美国人实施制裁；美国卫生部长访台赞扬台湾民主；白宫外发生枪击事件，特朗普被紧急带离简报室；麦当劳起诉前CEO……这里是今日要闻。
与中国划清界线——美国华人当中的新“切割派”,在中美剑拔弩张的情况下，一些华人选择疏离中国甚至划清界线。有人拿古巴移民为例，赞成脱钩，也有人认为，种族主义并不会因此减少。
新冠疫情下中美贸易协议命运存疑,尽管中美官员发表声明称协议正在得到履行，但特朗普批评中国未遵守协议，对其未来表示怀疑。疫情导致中国难以实现采购目标，中美关系也在进一步恶化。
简报：谁将中美推向全面对抗；朝鲜首度披露疑似病例,美国农业官员对来自中国的种子包裹发出警告；越南百日零新增记录被打破；巴西总统称自己感染新冠后已痊愈；澳洲报告单日最高死亡人数……这里是今日要闻。
双边关系紧张之际，中美官员讨论贸易协定进展,在特朗普指责中国控制新冠疫情不力的背景下，此次对话意义重大。会谈后双方均释放乐观信号。专家认为，现阶段维持这项协议及商业往来对两国都有益处。
简报：长江流域洪水肆虐；字节跳动宣布将起诉美国政府,中共推“光盘行动”向浪费粮食宣战；中国走向“后疫情时代”；美国FDA授权使用康复者血浆治疗；俄著名反对派领袖被转往德国救治……这里是今日要闻。
12名乘船逃亡台湾的香港人预计将在大陆受审,北京当局拒绝将他们保释，在未提出指控的情况下一直将他们关押在拘留所，也不让他们与亲属指定的维权律师见面。家属担忧他们可能在大陆不透明的司法体系里遭受刑讯。
简报：中国用维吾尔劳工生产口罩；肖建华金融帝国陨落,肖建华金融帝国陨落；复盘中印喜马拉雅之争；；香港单日新增病例过百；“希望号”火星探测器发射升空；美国民权运动先驱刘易斯逝世……这里是今日要闻。
美国遏制中共的战略窗口期究竟有多长,以中国今天的实力，作者认为，未来五年对美国遏制中共非常关键。但如何在升级围堵中和不给美国造成大麻烦之间平衡，也是一个棘手问题。
简报：特朗普政府撤回留学生签证新规；英国宣布禁用华为,特朗普攻击拜登对华政策；《纽约时报》将把部分香港业务迁至首尔；佛州单日新冠死亡人数再破纪录；美国17年来首次执行联邦死刑……这里是今日要闻。
2020年，中国还会出现“灰犀牛”事件吗,难看的经济形势，被选情左右的中美贸易谈判，何去何从的香港抗议，和平统一似乎越来越渺茫的两岸关系……2020年，灰犀牛蹲在哪里？
简报：香港卷入中美网络自由战；美国宣告正式退出WHO,美国务院对与西藏出入限制有关的中国官员实施入境限制；世卫组织专家将前往中国展开疫情溯源调查；巴西总统新冠病毒检测呈阳性……这里是今日要闻。
拜登还是特朗普，华裔投给谁,或者因为子女的教育机会，或者因为大流行之后的种族歧视现象增加，美国的华裔选民因为关注点的不同，对特朗普和拜登各有好感。几位来自不同州的华裔给出了他们的理由。
中国为什么通缉我这样的美国公民,我是被香港当局以违反国安法为由通缉的六个人之一，即使我是美国公民。这部法律令任何国家任何为香港发声的公民都可能成为打击目标。
台湾铜锣湾书店，一座“自由社会的灯塔”,香港书商林荣基在台北重开铜锣湾书店，这里迅速成为台湾活跃民主的象征，以及讨论两岸关系与台湾未来的集会场所。但书店的选书和林荣基的政治难民身份也引发了争议。
拜登与中国的40年：从支持中国崛起到对华强硬,拜登与中国的接触始于1979年，他曾经支持中国在全球一体化中崛起，希望用国际准则改变中国。但如今，他谴责习近平为“暴徒”，视中国为一个首要战略挑战。
简报：聚焦贝鲁特大爆炸；美国卫生部长计划率团访问台湾,全球新冠相关死亡病例超70万；阿富汗称该国三分之一人口已感染并康复；耶鲁学生因在线课程学费问题诉校方；日本纪念广岛核爆75周年……这里是今日要闻。
特朗普与蔡英文通话，打破1979年以来外交惯例,特朗普周五与台湾总统蔡英文通话，他是自1979年以来，第一位与台湾领导人通话的美国总统或候任总统。此举可能造成美国与中国之间的重大分歧。
简报：香港民众街头抗议新国安法；美新冠逝者接近10万,美高级官员威胁就北京推进新国安法实施制裁；武汉病毒所所长否认病毒起源阴谋论；美国针对巴西出台旅行禁令；金正恩时隔三周再露面……这里是今日要闻。
简报：香港民主派初选抗议领袖获支持；中国回击美国制裁,美国挑战中国在南海主张；美17州就留学生签证新规起诉特朗普政府；香港宣布新限制措施应对新一波疫情；中国警方通报贵州公交坠湖案……这里是今日要闻。
美国外交元老谈香港：中美双方都自以为是,资深外交人士傅立民认为，维持“一国两制”的香港符合美国利益，但一些官员需明白沉默是金的道理。对中国来说，面对NBA等事件，宽宏大量比敏感多疑带来的好处更大。
美国全面加强与台湾关系，反制中国,为谋求连任，特朗普的对华政策不得不转向强硬，亲台湾的美国官员看到了机会。他们力求提升美台关系，加强台湾的国际地位，以推动与中国的长远竞争及对抗。
“还得中共去收拾烂摊子”：习近平强硬政策背后的智囊团,长期以来，中共培养大批学者捍卫并打磨其议程。这些人有时被称为“国家主义者”，他们是党的拥护者，甚至成为官方顾问，助推香港国安法这类强硬政策。
