字段2,字段3
"
拜习会后 美中根本性争议性质未变
",在周一拜习会后，美国和中国同意继续就台湾、核军控和网络安全等问题的“战略稳定”进行对话。美国之音白宫记者站主任维达库斯瓦拉报道说，美中关系的根本争议性质不太可能改变。
"
日韩岛屿主权争端惹祸 美日韩副外长联合记者会告吹
",常务副国务卿谢尔曼（Wendy Sherman）星期三（11月17日）说，她与日本与韩国的官员举行了建设性的会谈，尽管“双边分歧”导致日韩会谈官员撤出了一次计划中的三边联合记者会... 谢尔曼与韩国外交部第一次官崔钟建（Choi Jong... 虽然日韩两国有一个共同的关键盟友美国，也对中国有共同的担忧，但东京与首尔的关系因岛屿主权争端以及二战期间多项历史遗留问题而受损... 
"
赛尔克坚：中共海外运作 遣返迫害新疆少数民族
",出生在新疆的哈萨克人赛尔克坚(Serikzhan Bilash)是人权团体... 赛尔克坚： 我们经手的具体案例很多，我会给你发一些 链接 ，你能从我们的视频中看到许多不同的个体讲述自己在新疆遭受种族迫害的 故事 ，毕竟愿意披露真相的人还是很多的... 2019年8月16日凌晨，他们开庭，给我判处7年徒刑，罪名是恐怖分子，还有破坏中国与哈萨克斯坦关系、制造社会矛盾等一大堆... 
"
专家视点: 独立媒体人王剑谈习近平的挑战与美国对华政策
",在拜登与习近平的峰会上，虽然美中分歧明显，但双方也都释出.管控紧张关系的善意。普遍认为.习近平将在明年的中共二十大上.寻求第三个任期，除了在六中全会上.巩固权力之外，他也需要稳定的政治环境，继续寻求党内支持。习近平现在面临的挑战有哪些？他会怎样主导中国的外交，包括与美国的关系？拜登政府的中国政策是否奏效？独立媒体人王剑分享了他的看法。
"
欲盖弥彰？中国官媒忽转发据称出自彭帅的电邮 国际女网协会负责人称此举更令人担心
",今年35岁的彭帅11月2日在微博上公开指称曾任中共政治局常委和国务院副总理、75岁的张高丽对她性侵... 日本女网名将 大坂直美 11月11日在推特上说：“不确定你是否在追踪新闻，但我最近被告知一位网球运动员同行揭露她被性侵后很快失踪了... 彭帅在1600多字的贴文中说，十年前，她与当时担任中共天津市委书记的张高丽发生过一次性关系，张高丽升任常委去北京后就没有联系过她... 
"
USCC: “既自信又恐惧”的中共，未来可能会更加强势
","报告说，在台湾问题上，短时间内动用武力侵犯台湾对中共来说依然是高风险的选择，但是由于中共领导人习近平对风险的承受度较高，中共也有可能不顾美国的警告攻击台湾... 中共加强对民企的监管，美国资本有“资助敌国”的风险
报告共551页，除了对美中全球竞争、台湾问题进行审议外，报告对过去一年美中经贸关系、美中安全、政治和外交关系以及香港问题也进行了专门审议... "
"
澳总理宣布关键技术保护措施 建立防范中国隔离带
",澳大利亚总理莫里森11月17日宣布一份涵盖60多项对国家安全至关重要的关键技术保护和发展的战略蓝图，以对抗中国在相关领域日益增强的趋势... 这个战略蓝图包括了量子技术、人工智能、基因工程、自动驾驶汽车技术、5G、疫苗、区块链等关键技术... 莫里森是星期三在澳大利亚智库战略政策研究所举办的视频会议上讲话时... 莫里森在讲话中还提及美英澳三边安全伙伴关系“奥库斯”（AUKUS... 
"
彭帅在哪里？日本网球一姐大坂直美发声相挺
",日本网球一姐、4座大满贯冠军得主大坂直美星期三（11月17日）发声，对中国女子网球名将彭帅指控前国家领导人性侵后音讯全无表示“震惊”，强烈谴责言论审查，并祝彭帅和她的家人一切安好... 现年35岁的中国女子网球名将彭帅11月初在微博上实名指控前中共中央政治局常委、国务院副总理张高丽对自己性侵、并在张高丽妻子康洁的默许下与他保持多年情人关系后被始乱终弃... 但是彭帅这篇实... 
"
时事大家谈：美中峰会定交规装护栏，拜习打招呼拉关系去冲突？
",在目前美中关系背景下，拜登能够将习近平请来并进行三个多小时峰会，这是拜登外交的一次胜利？习近平曾经称拜登是老朋友，拜登已经否认，在峰会前，白宫再次澄清拜登不是习近平的老朋友，但习近平继续称呼拜登老朋友，习近平是误判还是故意？拜登被共和党人批评对北京太弱，例如，参议院共和党人布莱克本，而在不少人的看来，拜登在中国政策上是个鹰派，为什么会有这种反差？
"
VOA卫视-时事大家谈 美中峰会定交规装护栏，拜习打招呼拉关系去冲突？
",今天我们来关注拜习视频峰会的几个背景与深层问题。第一，在目前美中关系背景下，拜登能够将习近平请来并进行3个多小时峰会，仍然可以认为这是拜登外交的一次胜利？白宫说峰会没有突破，但华尔街日报说，在持续三个多小时的会晤中，双方试图平息自拜登于1月上任以来标志着两国关系的敌对行动，这可以看作峰会的最大成就？第二，习近平的误判：习近平曾经称拜登是老朋友，拜登已经否认，在峰会前，白宫再次澄清拜登不是习近平的老朋友，但习近平继续称呼拜登老朋友，习近平是误判还是故意？第三，拜登被共和党人批评对北京太弱，例如，参议院共和党人布莱克本，而在不少人的看来，拜登在中国政策上是个鹰派，为什么会有这种反差？
"
时事大家谈：美中峰会定交规装护栏，拜习打招呼拉关系去冲突？
",今天我们来关注拜习视频峰会的几个背景与深层问题。第一，在目前美中关系背景下，拜登能够将习近平请来并进行3个多小时峰会，仍然可以认为这是拜登外交的一次胜利？白宫说峰会没有突破，但华尔街日报说，在持续三个多小时的会晤中，双方试图平息自拜登于1月上任以来标志着两国关系的敌对行动，这可以看作峰会的最大成就？第二，习近平的误判：习近平曾经称拜登是老朋友，拜登已经否认，在峰会前，白宫再次澄清拜登不是习近平的老朋友，但习近平继续称呼拜登老朋友，习近平是误判还是故意？第三，拜登被共和党人批评对北京太弱，例如，参议院共和党人布莱克本，而在不少人的看来，拜登在中国政策上是个鹰派，为什么会有这种反差？
"
美参议员引用议事规则迫使院会暂时搁置表决核准新驻华大使人选
",共和党籍的鲁比奥(Marco Rubio)星期二（2021年11月16日）在宣布这项行动的一份声明中说，“伯恩斯在公共服务领域有一个漫长的职业生涯，但他的职业生涯清晰地显示他不懂得... 在10月20日参议院外交关系委员会为核准他出任美国驻华大使的听证会上，伯恩斯对中国近来在印太地区各种咄咄逼人的行动、对中国的人权问题作出强硬表态，称美国在必要时会与中国激烈竞争... 
"
《习近平 – 全世界最有权势的人》作者佳杰思：中国不能接受习近平作为传记对象被写成书
","这也从另一方面说明中德关系和中美关系的区别... 习的铁腕统治让所有人生活在恐惧之中
问： 在看了这么多关于习的资料之后，你觉得更了解他了吗... 现在问这个问题正好，刚出来的这个六中全会的历史决议，把习放到了整个党和国家的核心位置... 习近平治下 60多万中国人出逃寻求他国庇护
问： 那习为什么要采取如此让大家生活在恐惧之中的铁腕统治手法... "
"
拜习会落幕 国会两大政党褒贬不一
","（2019年7月12日，台湾总统府提供）
参议院外交关系委员会主席梅嫩德斯（Sen. Bob Menendez, D-NJ）对美国之音说，美中两国元首直接展开对话最主要能让美国清楚阐明各项议题的立场... 他说，“我认为会谈为习近平提供了一个平台，将他塑造成一个负责任的全球领导者，试图为美中紧张关系降温... "
"
拜登政府据信已决定外交抵制北京冬奥会正择时宣布
",消息人士们说，由于美中首脑峰会已经结束，拜登政府预计会很快宣布这项决定... 参议院外交关系委员会首席共和党人里施(Jim Risch)星期二也发表一份声明，对罗姆尼推动行政当局外交抵制北京冬奥会的努力看来取得成功表示祝贺... 白宫国家安全委员会一位资深官员在美中首脑会议星期一深夜结束后对媒体表示，两位元首在三个半小时的会晤中没有讨论北京冬季会议题... 
"
美中就放松记者签证问题达成一致
",去年，随着美中关系不断恶化，两国间的紧张关系也蔓延至媒体领域... 分析人士普遍认为，这场长达三个半小时的会谈在双边关系重大问题上没有什么突破，也不太可能显著改善双边关系，但是有助于缓和紧张气氛... 她对美国之音说：“在这个例子中，美国大使馆和在北京的官员成立了一个工作组，他们能够达成双方都可接受的解决方案... 
"
街访：拜习视频峰会让普通美国民众抱持谨慎希望
",商业卡车司机凯西·本森(Casey... 虽然美中之间有贸易纠纷，价值5500亿美元的货物被加征了关税，但是47岁的本森希望美国总统拜登和中国国家主席习近平某一天会让货物再次流通... 虽然美国之音在街头接触的很多人并不知道有这次峰会或者拒绝发表观点，不过44岁的奥克兰居民、德国出生的水手安德烈·谢苗诺夫(Andreii Semenov)称美中关系是一场“政治游戏... 
"
美国进入第三个情报时代，最新目标：中国
",戈登在上个月举行的一场密码简报威胁会议说：“我们有点从反恐的麻木中醒来，意识到世界已经变得数字化了，而且我们并没有专注于我们需要做的所有事情，中国的崛起在那些年发生了，现在你看到... 中国外交部发言人赵立坚谴责中情局中国任务中心的设立是“冷战思维的典型表现... 他说，美方“应客观理性看待中国发展和中美关系，停止做有损互信与合作的事... 
"
白宫要义: 白宫: 拜登不认习近平是老朋友 美将强化与台湾接触
",拜习会结束后，白宫官员表示这次会议包括新疆、西藏、香港等人权议题、贸易等，都有... 在白宫发出的声明中说，拜登总统称的美国一中政策，是基于台湾关系法，三个美中联合公报，以及对台六项保证... 他说拜登与习近平在会中都强调，美中关系对于世界至关重要，未来需要举行经常性的元首互动会议，不只是对话，更要针对实际议题进行实务会议，确保能加以改善，而在无法改善的部分，则确保能降低... 
"
涉中国插手云朗基地 美国制裁柬军将领 金边愤怒反驳
",美国上星期宣布对两名柬埔寨军方高官实施制裁，引起金边方面的一波怒骂，并... 中国官媒《环球时报》报道说，中国外交部发言人汪文斌11月11日在北京举行的例行记者会上就此事发表评论说：“中方一贯反对美方实施单边制裁和所谓的长臂管辖，反对美方粗暴干涉别国内政... 他在电子邮件中对美国之音高棉语组说：“我认为，今后可能会有几百个名字，所以，增加这两个人意义重大，并且具有象征性... 
"
沙利文：拜习会意在为美中长期竞争加装“护栏”
",中国副外长谢锋星期二对媒体表示，“视频会晤是在关键时刻两国元首对中美关系的又一次把舵引航，对中美关系未来发展意义重大，影响深远... 据中国官方的新华社报道，习近平在会谈中对拜登说，“我们要把稳舵，使中美两艘巨轮迎着风浪共同前行，不偏航、不失速，更不能相撞... 在此之前，美中之间的几次高级别会谈都是火药味十足且无果而终，直到9月份拜登与习近平第二次通电话双边关系才有所缓和... 
"
专家视点: 拜习会开场和缓分歧犹存，台湾仍为主要关切
",美国总统拜登和中国国家主席习近平在美国时间周一晚间大约三个半小时的视频会晤中试图为美中关系管控分歧，避免冲突，双方讨论了人权、贸易、新冠疫情等多个话题，其中台湾问题仍引起高度关注。今天我们邀请美国艾德菲大学文理学院院长、政治学教授王维政，和台湾政治大学东亚系荣誉教授丁树范一起来分析拜习会的成果与意义。
"
VOA连线(张蓉湘): 一个视频会晤 两种官方声明
",高级美国官员表示，美国总统拜登在和中国国家主席习近平的视频会晤中，就台湾议题进行了大量的讨论，拜登总统并且“相当直接地”指出北京的一些行为不利于台海的和平与稳定。
"
白宫要义: 白宫: 拜登不认习近平是老朋友 美将强化与台湾接触
",拜习会结束之后，白宫官员表示这次会议包括新疆、西藏、香港等人权议题、贸易等，都有坦率且直接的讨论，而如美方预期的一样，在台湾议题上也进行了长时间的讨论。而在习近平于会上称呼拜登为老朋友之后，白宫再度重申，拜登总统并不认为习近平是老朋友。
"
VOA连线(张蓉湘): 一个视频会晤 两种官方声明
",美国政府说，拜登总统强调美国在台湾关系法、美中三个联合公报和六项保证的指导下，继续致力于美方的一个中国政策... 中共六中全会巩固了习近平的政治地位，美中视频会晤在六中全会之后举行... 美国国务院发言人内德普赖斯说：“我们明确指出，当美中接触符合美国的利益时我们会毫不犹豫地这样做，因为我们觉得维持这些外交渠道、拥有开放的沟通渠道可以帮助设置这些护栏... 我们首要的目标是确保... 
"
美国观察(2021年11月17日)
",美国总统拜登与中国国家主席习近平在美东时间11月15日晚间以视讯方式进行了首次面对面会谈，双方讨论了人权、经贸、台海局势、新冠疫情等问题。白宫表示，正如稍早前的预期，这次美中峰会没有在任何重大议题上取得突破。中方将这次会谈描述为“坦率、建设性、实质性和富有成效”。在台湾问题上双方存在分歧，拜登总统强调美国在台湾关系法、美中三个联合公报和六项保证的指导下，继续致力于“一个中国”政策，称美国强烈反对单方面改变现状、损害台湾海峡和平与稳定的行动。
"
VOA卫视美国观察 美中领导人举行视频会晤，白宫表示并未取得突破；拜习会试图管控分歧、避免冲突，台湾问题备受关注
",美国总统拜登与中国国家主席习近平在美东时间11月15日晚间以视讯方式进行了首次面对面会谈，双方讨论了人权、经贸、台海局势、新冠疫情等问题。白宫表示，正如稍早前的预期，这次美中峰会没有在任何重大议题上取得突破。中方将这次会谈描述为“坦率、建设性、实质性和富有成效”。在台湾问题上双方存在分歧，拜登总统强调美国在台湾关系法、美中三个联合公报和六项保证的指导下，继续致力于“一个中国”政策，称美国强烈反对单方面改变现状、损害台湾海峡和平与稳定的行动。美国财政部长耶伦表示，拜登政府正在密切关注中国房地产业的债务危机以及中国监管当局对这个风险的监控。
"
国会重启努力 争取年底前通过与中国竞争法案
",参议院多数党领袖查克·舒默(Chuck Schumer)星期二(11月16日)说，长时间未见进展的《美国创新与竞争法》(USICA)将被纳入《国防授权法》(NDAA)之中... 他提议的措施包括加强美国与台湾的关系，拨出资金用于分析中国在非洲发展中国家的经济活动，并为参与在有争议的南中国海填海造岛的中国个人实施制裁铺平道路... 台湾的地位经常是在美中关系中引起不快的议题... 
"
VOA连线：美中元首视频峰会 小民: 台湾因素是促成这次对话的最重要因素
",美国总统拜登华盛顿时间11月15日晚间即北京时间11月16日上午与中国国家主席习近平举行了视频峰会。这是拜登出任总统后第三次与中国领导人习近平通话。拜登在开场发言中强调，美中关系需要一些常识性的“护栏”，防止“竞争”转为“冲突”。习近平强调中美应该相互尊重、和平共处、合作共赢。中方将这次会谈描述为“坦率、建设性、实质性和富有成效”。白宫表示，正如稍早前的预期，这次美中峰会没有在任何重大议题上取得突破。 如何评价这次美中首脑视频峰会？
"
海峡论谈：拜习过招 谁能掌控台湾问题主导权？
",中共第十九届六中全会才刚落幕，“拜习会”随即登场。白宫发言人莎琪称这次美中领导人视讯峰会并非寻求达成特定成果，而是要为美中竞争设置规范；美国国务卿布林肯特别在会前先与中国外长王毅通话，强调台海和平的重要性，并敦促两岸对话；台湾驻美代表萧美琴則在回应美国之音提问时表示：“拜习会”是为了管控竞争，避免台海冲突。展望这场千呼万唤始出来的“拜习会”，究竟能否为台海情势降温、为美中关系破冰？拜登与习近平两人各自面临内政难题，究竟谁才能够掌控台湾问题的的主导权与主动权呢？海峡论谈邀请台湾淡江大学国际事务与战略研究所黄介正教授与台湾师范大学政治学研究所范世平教授二位专家为大家展望拜习会与美中关系的走向。
"
台外交部：密切关注美中关系走势
",美国总统拜登与中国国家主席习近平举行视频峰会后，台湾外交部发言人欧江安星期二(11月16日)表示，台湾会密切关注美中互动情形，并在既有基础上推进美台伙伴关系。
"
时事大家谈：拜登讲竞争习谈合作，美中较量谁占上风？
",美国总统拜登和中国国家主席习近平结束了将近4个小时的视频峰会，两国领导人寻求为美中关系重新定位。峰会期间，拜登大谈美国与中国在经贸、人权、外交、及地缘政治方面的激烈竞争，寻求为两国竞争设置护栏，避免冲突和战争。习近平重弹合则两利、斗则俱伤的老调，强调“中美应该相互尊重、和平共处、合作共赢。”美中过招，谁占上风？竞争与合作，哪种状态是未来美中关系的主轴？时事大家谈邀请纽约城市大学政治学教授夏明；以及政治学博士、独立时评人吴强为您点评。
"
拜习视讯峰会落幕，观察人士:各说各话 基本矛盾和僵局无解
",美国总统拜登和中国国家主席习近平于北京时间周二(11月16日)上午8点46分展开视讯峰会，这是两国元首继2月和9月两度电话热线后的第三次对话。在近4个小时的晤谈中，中方说，双方就美中两大强权未来的竞合关系和双方关切的敏感议题进行了“坦率、建设性、实质性和富有成效的”交流，但美方则认为毫无突破。对此，观察人士表示，美中两国领导人都展现了合作的主观意愿，但在客观情势上，双方各说各话，这意味着，两国因基本价值观和意识形态所导致的矛盾和僵局恐怕无解，未来经贸竞争和军事压力将不断升级。
"
VOA卫视-时事大家谈 拜登讲竞争习谈合作，美中较量谁占上风？
","美国总统拜登和中国国家主席习近平结束了将近4个小时的视频峰会，两国领导人寻求为美中关系重新定位。峰会期间，拜登大谈美国与中国在经贸、人权、外交、及地缘政治方面的激烈竞争，寻求为两国竞争设置护栏，避免冲突和战争。习近平重弹合则两利、斗则俱伤的老调，强调“中美应该相互尊重、和平共处、合作共赢。”美中过招，谁占上风？竞争与合作，哪种状态是未来美中关系的主轴？美国之音时事大家谈邀请纽约城市大学政治学教授夏明；以及政治学博士、独立时评人吴强 为您在华盛顿演播室现场点评。
"
"
时事大家谈：拜登讲竞争习谈合作，美中较量谁占上风？
",美国总统拜登和中国国家主席习近平结束了将近4个小时的视频峰会，两国领导人寻求为美中关系重新定位。峰会期间，拜登大谈美国与中国在经贸、人权、外交、及地缘政治方面的激烈竞争，寻求为两国竞争设置护栏，避免冲突和战争。习近平重弹合则两利、斗则俱伤的老调，强调“中美应该相互尊重、和平共处、合作共赢。”美中过招，谁占上风？竞争与合作，哪种状态是未来美中关系的主轴？美国之音时事大家谈邀请纽约城市大学政治学教授夏明；以及政治学博士、独立时评人吴强 为您在华盛顿演播室现场点评。
"
拜习视讯峰会落幕，观察人士:各说各话 基本矛盾和僵局无解
",赵通说，这也就是为什么中国境内有部分人士乐观分析，中美关系会“低开高走”，因为未来双方认知到，谁也改变不了谁后，就会开始学著和平相处，有利于双方和区域各国的利益... 至于针对美国过去在对华政策上的明显误判和误解，先前中美官员在沟通中也获得了相当充分的理解，因此，包承柯说，中美关系已经走过最糟糕的低谷... 
"
都是为了台海 日在冲绳列岛强化电子战部署
","都是为了台海 日在冲绳列岛强化电子战部署
对中情报收集
日媒《琉球新报》10月11日报道，日本防卫省联合参谋室将于11月下旬实施自卫队综合演习，内容包括在... 对于台日美三方联合作战的部分，陈亮智表示目前看不出清楚的轮廓，但三方，尤其是美日同盟，必须深刻认知到三方已是命运共同体，在共同应对中国军事威胁下，三方联合作战的构想、计划、与实践都... "
"
美中首脑首次正式视讯会晤 中方称“富有成效”白宫说没有突破
",美国总统拜登与中国国家主席... 新闻稿说，在台湾问题上，拜登总统强调美国在台湾关系法、美中三个联合公报和六项保证的指导下，继续致力于“一个中国”政策，称美国强烈反对单方面改变现状、损害台湾海峡和平与稳定的行动... 中国国家通讯社新华社在峰会后发表的消息说，习近平在对话中强调，“台海局势面临新一轮紧张，原因是台湾当局一再企图‘倚美谋独’，而美方一些人有意搞‘以台制华... 
"
拜登总统在美中视频峰会上的开场发言(全文翻译)
",美国总统拜登美国时间星期一(11月15日)晚从白宫通过网络... 拜登在开场发言中强调，美中关系需要一些常识性的“护栏”，防止“竞争”转为“冲突... 在我看来，我们的双边关系如何发展，不仅对我们两国有着深刻的影响，而且坦率地说，对世界其他地方也有着深刻的影响... 我认为，非常重要的是——正如其他世界领导人问起有关我们的关系时我告诉他们的一样，我们总是相互间非常诚实和坦率地交流... 
"
台湾或为拜习会首要议题，但专家认为不要有重大期待
",专家们说，美国总统拜登和中国国家主席习近平在华盛顿时间星期一... 美国正式维持对台湾的 “战略模糊” 政策，但根据1979年的 《台湾关系法》 ，美国承诺“提供”武器和服务，让台湾保持“足够的自卫能力... 内华达大学拉斯维加斯分校政治学助理教授王宏恩(Austin Wang)说，尽管台湾海峡紧张局势不断升级，但他不指望这次通话跟中美之前的对话相比会有多大的实质变化... 
"
十年三整旗鼓，美国印太战略仍亟待充实强化
",我们在2017年制定了新的国家安全战略，在2018又发布了《国防战略报告》，基本上有了一位制定详细计划和明确方向的总统，但是后来的预算法案中的所有问题使事情变得更加复杂... 美国乔治·华盛顿大学国际关系学教授、新加坡东南亚研究院访问学者罗伯特·萨特说，美国在与中国的竞争中赢得了澳大利亚、印度、日本、韩国以及欧洲和北约伙伴的支持，但东南亚是美国的一个败笔，正在输给... 
"
白宫要义: 拜习会登场，拜登""不当习近平是老朋友”，两人要聊什么？
",拜登总统上台后与中国国家主席习近平的首次会谈定于美东时间11月15号星期一晚上7点45分透过视讯方式举办。白宫国安会针对这次拜习会举办了背景简报会。
"
白宫要义: 拜习会登场，拜登""不当习近平是老朋友”，两人要聊什么？
",白宫发言人莎琪在星期一的白宫新闻简报会上在拜习会的安排上加以解释，说美中关系只是拜登政府整体战略的一部分背景，拜登总统想要增强美国本身，才能在坚强实力的立场上与中国竞争：“由于中国国内的权力集中，我们认为这份关系，拜登总统与习主席之间持续的讨论，是与中国进行激烈外交时的关键要件... 总统同时也强调美中关系间的竞争，要透过坚强实力的立场来进行，并与美国国内政策相关... 
"
联邦陪审团裁决一名华裔美国海军上尉违反枪支法及在接受安全背景调查时撒谎
",美国司法部星期一(11月15日)说，一个联邦陪审团裁决美国海军武器系统飞行... 杨帆有最高机密级别的安全许可，在接受安全背景调查时，他隐瞒了有关他与外国公民葛松涛的关系、他在中国有银行账户、他有时为自己的家庭公司工作以及他具有一份过期中国护照等信息... 杨帆 最初被起诉 时，也被指控串谋非法向中国出口冲锋舟，但是在2020年11月的更新起诉中，美国政府取消了这项指控
"
因擅闯特朗普庄园获刑8月又因疫情被关一年多，上海女子遭遣返回国
",联谊活动的门票，但是等她抵达佛罗里达时，组织和推销海湖庄园联谊活动的华人辛迪∙杨因为与中国驻美领事馆关系密切，被怀疑是以特朗普华人粉丝身份“卧底在特朗普身边的中国间谍”，与特朗普海湖庄园的关系被切断，她组织推销的海湖庄园联谊活动也全部被取消... 法庭文件显示，张玉婧当时曾抱怨在拘留所中没有钱给中国的家人打电话，她也需要律师帮她早日重获自由并回国... 
"
时事大家谈：拜习会登场，美中关系能否峰回路转？
",美国总统拜登与中国国家主席习近平即将举行视讯会晤，这是两国试图缓解紧张关系，管理美中竞争的一次尝试。中国外长王毅说，两国元首峰会对中美关系发挥“把舵引航”的作用，两国人民和国际社会都希望会晤取得“对两国和世界都有利的结果”。
"
拜习视频峰会会谈及哪些有争议议题？
","美国总统拜登11月15日与中国领导人习近平举行视频峰会... 在美中关系不断恶化的情况下，两国官员都淡化会谈能取得具体成果的预期... 中国外长王毅上周六与布林肯在电话交谈中说，华盛顿不应该向“台独势力”发出错误的信息... 美中军方较低级别的对话一直致力于缓解紧张关系... 科技：
在华为首席财务官孟晚舟与美国司法部检察官达成认错协议得以从加拿大获释之后，美中关系有略有缓和... "
"
VOA卫视-时事大家谈 拜习会登场，美中关系能否峰回路转？
",美国总统拜登与中国国家主席习近平即将举行视讯会晤，这是两国试图缓解紧张关系，管理美中竞争的一次尝试。中国外长王毅说，两国元首峰会对中美关系发挥“把舵引航”的作用，两国人民和国际社会都希望会晤取得“对两国和世界都有利的结果”。但白宫试图淡化外界对这次峰会的预期，表示峰会的目的是设置有效竞争的规范，“不期待有重大的可交付成果或结果”。峰会前夕，美中都释放了一些缓和及改善双边关系的讯息，但是在涉及国家安全、经济和政治的一些根本问题上，双方都没有让步的迹象。美中交恶始于特朗普任期，拜登会不会改弦易辙？习近平挟六中全会之势风头正旺，他愿不愿正视美国关切的问题？美中和世界都发生了巨大变化，两国关系还能不能回到过去？
"
时事大家谈：拜习会登场，美中关系能否峰回路转？
",美国总统拜登与中国国家主席习近平即将举行视讯会晤，这是两国试图缓解紧张关系，管理美中竞争的一次尝试。中国外长王毅说，两国元首峰会对中美关系发挥“把舵引航”的作用，两国人民和国际社会都希望会晤取得“对两国和世界都有利的结果”。但白宫试图淡化外界对这次峰会的预期，表示峰会的目的是设置有效竞争的规范，“不期待有重大的可交付成果或结果”。峰会前夕，美中都释放了一些缓和及改善双边关系的讯息，但是在涉及国家安全、经济和政治的一些根本问题上，双方都没有让步的迹象。美中交恶始于特朗普任期，拜登会不会改弦易辙？习近平挟六中全会之势风头正旺，他愿不愿正视美国关切的问题？
