时间,标题,内容,记者
2021年11月4日,"
史诗台剧“斯卡罗”热映 再现台湾本土身世史
",惨烈战役的”长津湖”在中国创下票房佳绩的同时，台湾热映的却是”斯卡罗”，一部描述美国和南台湾原住民族斯卡罗化干戈为玉帛、缔结南岬之盟的电视剧，呈现出两岸在历史观上的极大反差... 斯卡罗”改编自小说⟪傀儡花⟫... 不过，他希望透过“斯卡罗”，中国人可以学会理解台湾人多元族群的思维、避战的天性，以及台湾作为移民社会，为了生存，彼此和平相处的倾向，以作为今日两岸关系的借镜... , 黄丽玲
2021年11月4日,"
五角大楼更新中国军力报告：中国2030年或拥有1000枚核弹头
","中国外交部作出反驳，官方... 美国坚持“一中政策”，致力于深化与台湾的关系
美国通常在9月份公布《中国军力报告》，今年的报告差不多延迟了两个月... 中国越来越多地对台湾和蔡政府施压，以遏制华盛顿与台北的关系并阻止“台独... 美国致力于深化与台湾的关系，台湾是一个重要的民主国家和重要的经济和安全伙伴... 美国继续支持以双方都能接受的方式、范围和速度的和平方式解决两岸问题... ", 斯洋
2021年11月4日,"
中国加紧挑衅不怕台海擦枪走火导致意外战争？
",年协助安排台湾总统马英九和中国国家主席习近平举行会晤的赵春山说，在前总统李登辉和陈水扁时期两岸都曾保持来往，但现在据他了解完全没有，而在没有沟通管道、没有危机管理机制的情况下，双方... 美国外交关系委员会研究员大卫·萨克斯(David Sacks)说，自1958年第二次台海危机以来，还没有在中国和台湾之间的对抗中有人丧生，但是一旦出现这种情况局面可能令双方都难以... , 孙承
2021年11月4日,"
美军最高将领米利：美国绝对有能力保卫台湾
",美国最高军事将领表示，他不认为中国在未来一两年内可能攻打台湾，但他表示，如有需要，美国绝对有能力保卫台湾... 美国参谋长联席会议主席马克·米利（Mark Milley）将军星期三（11月3日... 不过他说，“战略模糊”政策基于《台湾关系法》和美中三个联合公报，到目前为止都是成功的... 他说，美国政府的政策是，台湾与中华人民共和国之间的任何分歧都应根据两岸人民意愿和平解决... , 莫雨
2021年11月4日,"
时事大家谈: 北京着眼“统一之后”，华盛顿将如何防卫台湾？
",与此同时，美国国务卿布林肯与中国外长王毅在20国集团峰会... 可是拜登这次的口误也是说明这五年来华盛顿国防部也好，国务院也好，白宫，还有美国的外交政策精英，我们有关海峡两岸的对话是有比较大的变化... 所以作为一个曾经参与政府工作，现在也在政党服务的，每天在思考台海关系的人来讲，我觉得战略模糊反而对台湾的政策精英来讲，有更好的方法去思考如何来说服自己的民众支持自己的国防... , 许波
2021年11月4日,"
台湾成立专案小组，防备北京利用深伪技术影响公投大选
",台湾国安局副局长陈进广星期三（11月3日）在立法院证实，国安局已经成立专案小组，因对北京当局有可能利用深伪技术（Al Deepfake）变造台湾领导人影音或照片，影响台湾未来的公投和大选，以及国家安全和社会稳定... 陈进广和内政部长徐国勇、法务部次长蔡碧仲等部会负责人应立法院内政委员会邀请，前往立法院，就“新形态犯罪行为对国家与个人之威胁与影响、如何防范与反制... , 松仁
2021年11月3日,"
时事大家谈：北京着眼“统一之后”，华盛顿将如何保卫台湾？
",国举办第四届“国家统一与民族复兴”研讨会，国台办部署统一后的对台政策，引起两岸的强烈反响。于此同时，美国国务卿布林肯与中国外长王毅在20国集团峰会间隙举行会晤，就台湾问题进行了激烈交锋。布林肯表示，美国“一中政策”并没有改变，但美国反对北京采取的增加台海紧张局势的行为，明确反对北京单方面改变现状。王毅反驳，美方指责中国改变现状是对国际社会的严重误导。中方强调，台湾是中美之间最敏感的问题，处理失误将对中美关系造成颠覆性、全局性破坏。布林肯在会晤王毅之前，对美国媒体重申了传统的“战略模糊立场”，强调美国坚守台湾关系法中美方的责任，包括确保台湾有能力实施自卫。, 许波
2021年11月3日,"
VOA卫视-时事大家谈 北京着眼“统一之后”，华盛顿将如何保卫台湾？
",中国举办第四届“国家统一与民族复兴”研讨会，国台办部署统一后的对台政策，引起两岸的强烈反响。于此同时，美国国务卿布林肯与中国外长王毅在20国集团峰会间隙举行会晤，就台湾问题进行了激烈交锋。布林肯表示，美国“一中政策”并没有改变，但美国反对北京采取的增加台海紧张局势的行为，明确反对北京单方面改变现状。王毅反驳，美方指责中国改变现状是对国际社会的严重误导。中方强调，台湾是中美之间最敏感的问题，处理失误将对中美关系造成颠覆性、全局性破坏。布林肯在会晤王毅之前，对美国媒体重申了传统的“战略模糊立场”，强调美国坚守台湾关系法中美方的责任，包括确保台湾有能力实施自卫。从拜登“出动军队保卫台湾”到布林肯“确保台湾有自卫能力”，应如何准确理解美国的台湾立场？美中台三方究竟谁在改变台海现状？有人以“兵凶战危”形容，台海近期有无战事？, 许波
2021年11月3日,"
时事大家谈：北京着眼“统一之后”，华盛顿将如何保卫台湾？
",中国举办第四届“国家统一与民族复兴”研讨会，国台办部署统一后的对台政策，引起两岸的强烈反响。于此同时，美国国务卿布林肯与中国外长王毅在20国集团峰会间隙举行会晤，就台湾问题进行了激烈交锋。布林肯表示，美国“一中政策”并没有改变，但美国反对北京采取的增加台海紧张局势的行为，明确反对北京单方面改变现状。王毅反驳，美方指责中国改变现状是对国际社会的严重误导。中方强调，台湾是中美之间最敏感的问题，处理失误将对中美关系造成颠覆性、全局性破坏。布林肯在会晤王毅之前，对美国媒体重申了传统的“战略模糊立场”，强调美国坚守台湾关系法中美方的责任，包括确保台湾有能力实施自卫。, 许波
2021年11月3日,"
美参议员提案每年拨款30亿美元提升台湾不对称战力
",美国国会1979年通过的《台湾关系法》提到美国将向台湾提供用于维持足够自卫能力的武器，但这部法律没有明确指出当中国攻击台湾时美国是否会采取军事行动保卫台湾... 布林肯国务卿周日（10月31日）在电视访谈中连续三次被问及美国是否将在两岸发生军事冲突时保卫台湾，但他均未作出明确答复... 布林肯仅强调，“美国在台湾问题上的政策没有改变，包括依据台湾关系法确保台湾有足够能力自卫... , 李逸华
2021年11月3日,"
华府管理美中关系 降低北京误判风险
",美国国务卿布林肯周日在和中国外交部长王毅的会晤中告诉中方，美国反对北京采取的、已加剧两岸紧张关系的行动... 美国国务卿布林肯星期天在20国集团峰会期间和中国外交部长王毅举行... 布林肯在一个推文中表示，这是美国与中国保持沟通、为了负责任地管理美中竞争关系所做的努力当中的一部分... 美国官员说，布林肯在会中告诉王毅，华盛顿反对北京任何单方面改变台海现状、加剧两岸紧张关系的举动... , 张蓉湘
2021年11月3日,"
华府管理美中关系，降低北京误判风险
",美国国务院说，美中沟通是为了负责任地处理两国之间的竞争关系。美国国务卿布林肯周日在和中国外交部长王毅的会晤中告诉中方，美国反对北京采取的、已加剧两岸紧张关系的行动。一些分析家说，华盛顿表明管理美中双边关系的目的是为了降低风险，防止北京的误解和误判。美国之音驻国务院记者站主任张蓉湘的报道。, 张蓉湘
2021年11月2日,"
张忠谋再度代表总统出席APEC峰会，蔡英文强调坚持自由贸易
",台湾将在下星期举行的亚太经济合作组织（APEC）非正式领袖会议上表达对自由贸易的坚持与支持，同时为台湾申请加入《全面与进步跨太平洋伙伴关系协定》（CPTPP）争取更多成员国的支持... 自从中华人民共和国1949年建政以来，台海两岸一直分离分治、互不隶属... CPTPP的前身是由美国主导的《跨太平洋伙伴关系协定》，也曾是奥巴马总统任内推动自由贸易和全球化的一项重大战略举措... , 松仁
2021年10月27日,"
台国防部称台海情势严峻，但不与北京军备竞赛，也不寻求军事对抗
",由于中国当局认定蔡英文政府奉行台独政策，因此从2016年蔡英文主政以来就切断了两岸之间所有的官方联系... 台湾陆委会在提前送达立法院的报告中表示，台湾政府致力维护台海和平，深化与友好国家合作，同时呼吁北京理性务实处理两岸关系... 陆委会呼吁北京正视两岸客观事实以及蔡英文总统提出的“四个坚持”，放弃军事威胁挑衅，透过民主对等的和平对话，务实开展两岸良性互动关系... , 松仁
2021年10月27日,"
中共升级对台军用机场 疑为直升机跨海斩首备战
","中国再现武力犯台的备战企图... 根据美国军事媒体《战区》（The War Zone）最新发布的卫星图像显示，解放军正在升级距离台湾最近的3座空军基地，包括兴建弹药掩体、延伸机场跑道、新设停机坪、并强化机库以因应台湾的... 中共升级对台军用机场 疑为直升机跨海斩首备战
10月份是海峡两岸的“国庆月”，中国与台湾的政治对抗，伴随而来的就是军事冲突风险直线上升... ", 杨安
2021年10月27日,"
布林肯：鼓励所有联合国成员与美国一起支持台湾参与联合国系统
",美国国务卿布林肯星期二(10月26日)说，美国支持台湾参与联合国系统，台湾已经成为一个民主成功故事，美国鼓励所有联合国成员和美国一起，支持台湾参与联合国系统及国际社会，共同解决... 挑战，因此，我们鼓励所有联合国成员国加入我们，支持台湾在所有联合国系统及国际社会的大力和有意义的参与，并符合我们在《台湾关系法》、三个联合公报及‘六项保证’指引下的‘一个中国’政策... , 锺辰芳
2021年10月26日,"
“没说台湾是中国一部分”：美两党议员批中国扭曲联合国2758号决议
","10月25日是联合国大会通过2758号决议届满50周年纪念日，正当北京高调庆祝... 参议院外交关系委员会主席、民主党人梅嫩德斯（Sen. Bob Menendez, D-NJ）和军事委员会首席共和党成员英霍夫（Sen. James Inhofe, R-OK... 华自强说，美国看到北京以台海两岸关系的好坏来决定是否允许台湾参与联合国活动，但这么做对促进台海和平没有好处... ", 李逸华
2021年10月26日,"
台湾外长吴钊燮和经贸代表团相继访欧，提升双边关系
",台湾外交部长吴钊燮这个星期开始对捷克共和国与斯洛伐克进行访问，以... 欧洲议会更是在10月21日通过了一项不具约束力的“欧盟-台湾政治关系与合作报告”，呼吁欧盟全面提升与台湾的关系，包括更改欧盟驻台办事处的名称以及启动欧台投资协定... 台湾外交部在一份声明中说，欧洲议会的这份报告不仅显示欧洲议会对台湾与欧盟双边关系的高度重视，也凸显台湾地缘战略价值获得欧盟的高度重视... , 莉雅
2021年10月23日,"
白宫从拜登保卫台湾承诺的评论上后退 “战略模糊”政策依然明显
",《1979年台湾关系法》声明，美国将向台湾提供用于维持足够自卫能力的武器... 她似乎是为了平息总统的评论所加剧的紧张关系，重复了国防部长劳埃德·奥斯汀(Lloyd Austin)星期五早些时候的声明：“没有人希望看到海峡两岸问题变成动武，拜登总统当然不希望，也没有理由应当变成这样... 北京加大了在台湾海峡的活动，最近试射了高超音速导弹，加剧了美中关系的紧张... , 维达库斯瓦拉
2021年10月23日,"
美官员：中国不当使用联合国2758号决议排除台湾国际参与
",在联合国大会1971年通过的2758号决议届满50年之际，美国国务院官员说，中国不当使用这个决议来阻止台湾参与所有联合国体系的会议和活动，美国正在以各种方式... 华自强说，美国看到北京以台海两岸关系的好坏来决定是否允许台湾参与联合国活动，但这么做对促进台海和平没有好处... “我们也见到一个模式，就是北京试图依据台海两岸的政治动态来调节(modulate)台湾参与的范围... , 锺辰芳
2021年10月23日,"
分析人士：法参议员访台释放欧洲国家愿与民主台湾增多互动的信号
",地区事务专家认为，本月早些时候一组法国参议员对台湾的访问只是欧洲国家... 他特别称台湾为 “国家” ，这对一位法国现任议员来说是罕见的举动，因为法国与台北没有外交关系... 除了西欧之外， 立陶宛 、斯洛伐克和 捷克共和国 也改善了与台湾的关系，并且更加大声地倡导民主... 星期三，一支有60多名代表组成的台湾贸易代表团启程前往欧洲，推动台湾与这三个国家以及中欧和东欧国家的关系, 海尔
2021年10月23日,"
美国防长重申挺台 但拒谈是否“协防台湾”
","美国国防部长劳埃德∙奥斯汀... 台海两岸高度关注拜登说法
台湾总统府发言人张惇涵表示，台湾注意到拜登总统的相关谈话，自从拜登上任以来，美国政府以实际行动展现出对台湾坚如磐石的支持... 1979年4月通过的指导美国对台关系的根本大法《台湾关系法》的确明文规定，美国有义务向台湾提供足够的自卫所需的防卫性武器和服务，但是并没有写明美国有协防台湾的承诺或义务... ", 松仁
2021年10月22日,"
中国鹰派扬言武统 台湾学者:误判国际局势 、煽动民族情绪恐遭反噬
",针对台湾问题，中国近期除了在... 所长王信贤在接受美国之音采访时指出，以2017年韩国部署萨德反导弹系统引发中国人民的反韩声浪为例，中国官方当时片面中止观光客赴韩国旅行、又发起抵制韩商乐天超市，这让两国关系急速恶化... 另外，金灿荣还轻率提出“台积电国有化”的主张，虽颇让中国人心振奋，但台湾学者批评，此主张充满对两岸现况及国际局势的误解，更是完全不懂台积电存在的意义... , 文东
2021年10月22日,"
白宫：美国对台湾政策没有改变
",美国总统拜登星期四（10月21日... “美国对台湾的协防关系以《台湾关系法》为指导... 虽然华盛顿依据《台湾关系法》要向台湾提供防御性武器，但是，在台湾一旦受到中国攻击，美国是否会军事介入，保卫台湾的问题上，美国长期以来一直奉行“战略模糊”政策... 中国称，台湾问题是中美关系中最敏感、最重要的问题，并谴责其所说的华盛顿和台北之间的“共谋... 过去几年来，海峡两岸局势一直很紧张... , 美国之音
2021年10月21日,"
不甩北京强力反对，欧洲议会高票通过欧台政治合作报告
",台湾对此表示高度欢迎... 部发言人汪文斌在星期四的例行记者会上谈到欧洲议会通过的涉台报告时，抨击该报告“严重违反国际关系基本准则，严重违反一个中国原则，严重违反欧盟在台湾问题上作出的公开承诺，性质和影响恶劣... 欧洲议会通过的涉台报告还对中国针对台湾的攻击性演习、侵扰领空和虚假宣传等活动表达严重关切，强调任何改变两岸关系的行为都不能是单方面的，也不能违背台湾公民的意愿... , 松仁
2021年10月21日,"
哈佛暑期中文课程撤出中国迁台，台湾盼学风自由吸引更多外籍生
",对此，分析人士预期，美中关系持续恶化的前提下，未来更多美国学校可望与台湾学校达成华语教学的合作... 他们说，紧绷的美中关系短期内看不出来有和缓的迹象，尽管中国官方试图将哈佛的最新决策淡化为单一事件，不过美国的华语课程未来从中国转往台湾将会是新的趋势... 她坦言，看到美中教育交流“断线”，确实感到有点难过，因为身为一个汉学学者，能够在两岸学习、生活，都是相当可贵的经验... , 杨安
2021年10月21日,"
“不能信任中国承诺” 美驻华大使被提名人伯恩斯强硬表态
",他说，如果人事案获得确认，他有信心美国能证明中国... 美中关系目前持续处于低谷状态，参议院外交关系委员会将美国驻中国大使的人事提名视为华盛顿处理对外关系最重要的职务之一，两党议员对于北京近来一系列作为提出担忧... 伯恩斯强调，美国历届政府都遵循一中政策，国会也通过台湾关系法，“美国的假设是台湾与中国的海峡两岸关系是和平的，但目前的状况没有多少和平，而是强势和咄咄逼人... , 李逸华
2021年10月20日,"
台湾国安局长称一年内两岸开战机率“很低”
",台湾国安局长陈明通星期三（10月20日）表示，台海两岸在一年内爆发战争的机率“很低... 陈明通在回答立委有关台湾是否近期就要面都战争的问题时表示，两岸在一年内发生战争的机率很低，但就怕有例如新冠疫情等突发事件，所以台湾要密切注意... 他认为，美中目前进行的是自由民主与专制的竞逐，关系已经回不到过去了，因此国安局从结构面判断及研析，双方不会有第四公报或私下协议, 松仁
2021年10月20日,"
专访傅士卓：重新思考中国政治与中共十九届六中全会前瞻
","中国近期出台的一系列政策以及中国政府针对多个行业加大监管力度的行动令许多分析人士和学者感到困惑，加之... 波士顿大学国际关系与政治学教授傅士卓（照片提供：傅士卓）
傅士卓是波士顿大学帕迪学院国际关系与政治学教授，也是哈佛大学费正清中国研究中心的教员... 我想很多中国人都明白，过去40年两国之间相对密切的关系，在经济、学术和社会等各个方面给中国带来了巨大的好处... ", 率方
2021年10月19日,"
因应北京战机侵扰 台湾要求美国提前交付66架F-16V战机
",台湾已经向美国提出提前交付其已经购买的66架F-16V型战机的要求，以... 虽然中华人民共和国1949年建政以来，台海两岸就一直分离、分治，但北京坚持认为台湾是其领土主权的一部分，而且即使动用武力，也要实现台湾与中国大陆的统一... 美国这样做的目的就是想在两岸之间维持一种平衡，让北京猜不透美国是否干预而不敢轻启战端；同时让台北因为猜不透美国是否会协防而不敢过分挑衅北京... , 松仁
2021年10月18日,"
西进中国30年 台商经历“镀金”到”撤退”三时期
","再加上，2015年后，林宗弘说，中国国家主席习近平日益集权、北京当局操作的民族主义也导致对外关系日益恶化，尤其美中贸易战开打，两岸关系也随着民进党上台而大逆转，此一阶段的台商逐渐选择撤出中国，回流台湾或往东南亚移转... 两岸关系紧张影响台商
陈女士还说，习近平越来越专制，对台商影响更大... ", 顾展珑
2021年10月18日,"
美加战舰联合穿越台湾海峡 中国谴责“挑衅滋事”
",在美国和加拿大战舰近日联合穿越台湾海峡后，中国军方星期天回应称，美加勾连挑衅、搅局滋事、性质恶劣，严重危害台海和平稳定... 据路透社报道，美国军方10月17日表示，美国海军阿利·伯克级导弹驱逐舰“杜威号”（USS Dewey）与加拿大皇家海军哈利法克斯级护卫舰“温尼伯号” (HMCS Winnipeg)，10月14日和15日联合穿越了台湾海峡... 这是英国军舰近年来... , 美国之音
2021年10月15日,"
高雄“城中城”大火之后，两岸出现基于人道的良性互动
",台湾高雄盐埕区“城中城”大楼星期四（10月14日）凌晨发生火灾事故，酿成... 事故发生后，北京的国务院台湾事务办公室和海峡两岸关系协会分别对这次事故罹难的同胞表达哀悼，向受伤同胞和相关人员家属表达慰问... 由于在这次火灾的罹难者中有3人的身份被确认为台湾人的大陆配偶，而且其中两人因已离婚，在台湾已无其他亲属，两岸官方都表示会为罹难陆配的家属奔丧或处理后事提供协助和方便... , 松仁
2021年10月15日,"
焦点对话：哈佛北京书院成台北书院 美中文化脱钩难逆转？
",哈佛大学决定将知名的“哈佛北京书院”暑期中文进修计划从北京移到台北，并改名为“哈佛台北书院”，提供美国学生到台湾大学学习繁体中文、参观故宫和体验书法、象棋、包饺子等文化活动... 台湾外交部发言人欧江安表示，台湾的民主自由体制可以让美国的青年学子对台湾及华语世界有更深入的体认；中国外交部发言人赵立坚称反对任何将文化... 两岸究竟哪一边可以让外国学生学习到真正的中华文化... , 樊冬宁
2021年10月15日,"
中共军机扰台 美日温差大不同
",日本新任内阁官房长官松野博一10月5日强调希望两岸问题透过各方对话和平解决，此后并未发表评论或表态... 他说：“中国最怕的就是日本与美国的关系过于紧密，尤其是在军事合作方面，这将对中国造成很大的压迫，所以中国会以完全相反的态度对待日本与美国，而且是以美国的对中态度为转换的基础... , 向凌
2021年10月14日,"
台湾防长强调绝不启动战端 但遭遇侵略将应战
",台湾的国防部长邱国正星期四（10月14日）表示，台湾军方绝对遵守不发动“第一击”原则，台湾也没有必要启动战端... 但是，如果对方有动作，国军就将... 美联社星期四引述专家的话报道说，两岸爆发直接冲突的可能性目前并不高，但是台湾正逐渐变成一个火药桶... 布鲁金斯研究院的民调还显示，对战争担心的台湾人也跨越了年龄界限，从20岁到60多岁的台湾人普遍都对两岸之间爆发战争表达担忧, 松仁
2021年10月14日,"
普京：北京统一台湾无需动武
",在台海紧张情势剑拔弩张、兵凶战危之际，俄罗斯总统普京语出惊人地表示，台海没有爆发武装冲突的危险，因为北京“不必动武”，依靠其经济实力就能实现统一台湾的目标... 普京是星期三（10月13日）在莫斯科举行的俄罗斯能源周... 中华人民共和国1949年建政以来，两岸一直分离分治，互不隶属... 由于中俄与美欧的关系近年来都呈恶化或紧张状态，普京和习近平致力于提升双边关系，以求抱团取暖... , 松仁
2021年10月14日,"
美专家评蔡英文双十演说：将台湾与中国区分，拒绝中国叙事
",在中国领导人习近平上周警告... 星期三，国台办发言人马晓光在例行记者会上再次针对岸“互不隶属”的说法表示，两岸关系“决不是‘国与国’关系，所谓‘互不隶属’就是赤裸裸地贩卖‘两国论’”，他还对解放军在台湾附近演训活动表示，这些演训活动“是针对‘台独’分裂活动和外部势力干涉，目的是维护台海和平稳定，捍卫国家主权和领土完整，维护两岸同胞的共同历史以，完全是正义之举... , 锺辰芳
2021年10月14日,"
此“一中”非彼“一中”——中国混淆美国一中政策
",例，不同于中国的一个中国原则的简洁表述，美国的一个中国政策是“源于美中三个联合公报，《台湾关系法》等关键文件以及多年来发表的一系列诸如‘六项保证’等政策声明的提炼之物，” 美国在台... 比尔·克林顿总统曾 在2000年表示 ，两岸问题的任何解决方案都必须得到“台湾人民的同意... , 章乐古
2021年10月14日,"
应对解放军军机侵扰 台湾将采取“愈接近本岛反制力愈强”战略
",在解放军军机持续侵扰台湾之际，台湾国防部星期三向北京发出... 虽然自1949年中共建政以来，台海两岸就一直分离和分治，北京却坚持认为台湾是其领土主权的一部分，并威胁不惜动用武力，也要实现台湾与中国大陆的统一... 美国国务院发言人普赖斯（Ted Price）星期二在例行的记者会上被问到北京对台湾的军事威胁时重申，美国对台湾的支持“坚若磐石”，美国也会致力深化与台湾的关系... , 松仁
